A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"147, ""000815"," ""里海から地域の暮らしを考える """," ""大村　隆史"""," ""前期"""," ""木1"""," ""1～""", ,,,
"148, ""000901"," ""地域課題発見・解決のための経済分析 """," ""長町　康平[Kohei NAGAMACHI]"""," ""3Q"""," ""火2"""," ""1～""", ,,,
"149, ""000902"," ""知プラe科目　データ利活用とオープンイノベーションで創る未来のまちづくり """," ""米谷　雄介[Yusuke Kometani]"""," ""3Q"""," ""集中"""," ""1～""", ,,,
"150, ""000903"," ""知プラe科目　データサイエンスを活用した防災・危機管理 """," ""野々村　敦子", 金田　義行, 寺尾　徹, 梶谷　義雄[Nonomura Atsuko, Kaneda Yoshiyuki,,,
"151, ""000904"," ""知プラe科目　レジリエントな社会の構築とコンピューターシミュレーション """," ""吉田　秀典", 岡﨑　慎一郎, 宮本　慎宏, 地元　孝輔[Yoshida Hidenori, Okazaki Shinnichiro,,,
"152, ""000905"," ""知プラe科目　災害とデータサイエンス """," ""石塚　正秀", 白木　渡, 磯打　千雅子, 竹之内　健介[Ishizuka Masahide, Shiraki Wataru,,,
"153, ""001101"," ""メディアとなるもの """," ""小坂　有資", 大村　隆史," 柴田　悠基"""," ""1Q"""," ""月5""",,,
"154, ""001102"," ""本との出会いで広がる世界 """," ""蝶　慎一[CHO Shinichi]"""," ""1Q"""," ""金1"""," ""1～""", ,,,
"155, ""001201"," ""やってみる科学 """," ""寺尾　徹", 野村  美加, 高橋　尚志, 鶴町　徳昭, 野々村　敦子,,,
"156, ""001301"," ""越境する学問 イ"""," ""蝶　慎一", 高橋　尚志, 寺尾　徹, 西本　佳代, 野村  美加,,,
"157, ""001302"," ""越境する学問 ロ"""," ""佐藤  慶太", 岡田　徹太郎, 三宅　岳史, 石井　知彦, 舟橋  正浩,,,
"158, ""001303"," ""デザインのすすめ """," ""井藤　隆志", 大場　晴夫, 石塚　昭彦, 釜床　美也子, 南　政宏[Takashi IFUJI,,,
"159, ""001304"," ""教育の“これまで”と“これから”を考える """," ""岡田　涼", 小方　朋子[OKADA Ryo," OGATA Tomoko]"""," ""1Q"""," ""木5""",,,
"160, ""001305"," ""自然科学へのいざない """," ""田中　直孝", 水田　圭祐, 林　敏浩, 和田　健司[Tanaka Naotaka, Hayashi Toshihiro,,,
"161, ""001306"," ""国境を超える看護学～ユニバーサルヘルスカバレッジ """," ""清水　裕子", 芳我　ちより, 西村　亜希子[Shimizu Hiroko, Haga Chiyori," Nishimura Akiko]""",,,
"162, ""001307"," ""近代と科学 """," ""石井　一也[Ishii Kazuya]"""," ""1Q"""," ""月5"""," ""1～""", ,,,
"163, ""001308"," ""世界の言語と文化 """," ""寺尾　徹", 植村　友香子, ウィリー・イアン・デビッド, 佐藤  慶太, 三宅　岳史,,,
"164, ""001309"," ""大学的香川ガイド イ"""," ""守田　逸人", 寺尾　徹, 平　篤志[MORITA Hayato, TERAO Toru," TAIRA Atsushi]""",,,
"165, ""001310"," ""大学的香川ガイド ロ"""," ""守田　逸人", 寺尾　徹, 平　篤志[MORITA Hayato, TERAO Toru," TAIRA Atsushi]""",,,
"166, ""001311"," ""ＳＤＧｓ学入門 """," ""寺尾　徹", 小方　直幸[TERAO Toru," OGATA Naoyuki]"""," ""3Q"""," ""木5""",,,
"167, ""010051"," ""書物との出会い-学問することの喜び イ"""," ""佐藤  慶太", 北林　雅洋, 杉田　貴瑞, 張　暁紅, 山本　陽一,,,
"168, ""010052"," ""書物との出会い-学問することの喜び ロ"""," ""西本　佳代", 安井　行雄, 黒澤　あずさ, 大塚　美菜子, 守田　逸人[NISHIMOTO KAYO,,,
"169, ""010061"," ""自然科学基礎実験 """," ""丸　浩一", 鶴町　徳昭, 高橋　尚志, 寺尾　徹, 山田　佳裕,,,
"170, ""010071"," ""分離する文理と大学 """," ""蝶　慎一[CHO Shinichi]"""," ""後期"""," ""火1"""," ""1～""", ,,,
